CONTROLE DE PEDIDOS - LOJINHA,,,,,,,,
"(planilha do Zé, não mexer!!)",,,,,,,,
,,,,,,,,
dt, cliente ,produto,Qtd.,  VALOR (R$) ,desc %,entregue?,estado,obs,
18/03/2024,Yasmin Souza,Pão de mel,6,"R$ 156,15",10%,Não,SP,,
09/03/2024,Nicolas Rodrigues,Pão de mel,5,"151,97",10%,sim,MG,cliente pediu p/ entregar depois das 18h,
15/03/2024,Íris Lima,Cookie,1,"R$ 138,60",5%,NAO,MG,pagou no pix,
24/03/2024,Ana Ferreira,Cookie,1,"R$ 15,18",10%,sim,sp,pagou no pix,
26/03/2024,Vitor Souza,Cookie,2,"R$83,13",0%,Não,SP,pagou no pix,
2024-03-10,Lucas Ferreira,Pão de mel,6,"R$33,55",5%,sim,RJ,retirar na loja,
08/03/2024,Tiago Pereira,Brigadeiro (cx 20),3,"105,36",10%,Sim,SP,,
21/03/2024,Heitor Nascimento,Pão de mel,6,"R$151,09",5%,sim,SP,retirar na loja,
28/03/2024,Marina Ferreira,Brigadeiro (cx 20),5,"R$ 56,03",0%,Sim,MG,,
2024-03-15,Karina Gomes,Torta de limão,6,"R$ 100,97",10%,NAO,sp,cliente pediu p/ entregar depois das 18h,
17/03/2024,Carla Carvalho,Torta de limão,6,"R$ 42,73",0%,sim,SP,cliente pediu p/ entregar depois das 18h,
28/03/2024,Gabriela Lima,Brigadeiro (cx 20),1,"145,03",5%,NAO,SP,,
04/03/2024,Ana Costa,Pão de mel,6,"79,95",5%,Não,MG,,
12/03/2024,Carla Martins,Bolo de pote,1,"R$ 26,69",0%,Sim,MG,cliente pediu p/ entregar depois das 18h,
08/03/2024,Diego Martins,Pão de mel,3,"R$168,19",5%,NAO,MG,,
14/03/2024,Carla Nascimento,Bolo de pote,5,"125,92",5%,sim,RJ,,
15/03/2024,Wanda Santos,Brigadeiro (cx 20),3,"R$ 22,12",10%,sim,SP,,
2024-03-12,Úrsula Araújo,Torta de limão,4,"R$126,34",10%,Não,SP,cliente pediu p/ entregar depois das 18h,
02/03/2024,Gabriela Silva,Cookie,3,"R$137,96",0%,Sim,RJ,,
27/03/2024,Gabriela Souza,Bolo de pote,3,"37,55",0%,Sim,sp,,
16/03/2024,Íris Ribeiro,Bolo de pote,1,"R$125,01",0%,S,SP,,
02/03/2024,Vitor Ferreira,Brigadeiro (cx 20),1,"R$52,69",0%,NAO,RJ,,
22/03/2024,Úrsula Araújo,Pão de mel,3,"26,81",10%,Não,SP,,
17/03/2024,Lucas Silva,Brigadeiro (cx 20),3,"58,45",5%,NAO,MG,cliente pediu p/ entregar depois das 18h,
2024-03-13,Nicolas Nascimento,Cookie,3,"R$ 25,54",5%,S,RJ,pagou no pix,
2024-03-17,Diego Santos,Pão de mel,1,"79,76",5%,NAO,SP,,
18/03/2024,Íris Souza,Bolo de pote,2,"R$ 30,66",10%,NAO,sp,retirar na loja,
17/03/2024,Heitor Araújo,Torta de limão,1,"R$ 19,66",5%,NAO,sp,,
01/03/2024,Ana Martins,Cookie,6,"139,94",0%,S,SP,,
,,,,,,,,,
06/03/2024,Marina Almeida,Pão de mel,1,"146,95",10%,NAO,MG,,
2024-03-09,João Ribeiro,Pão de mel,5,"R$ 33,45",5%,S,sp,,
2024-03-17,Gabriela Pereira,Pão de mel,2,"92,88",0%,Não,MG,,
15/03/2024,Íris Pereira,Pão de mel,6,"R$130,81",5%,NAO,RJ,,
11/03/2024,Diego Oliveira,Torta de limão,6,"R$48,09",5%,NAO,RJ,,
2024-03-03,Bruno Ferreira,Cookie,5,"R$ 162,42",5%,NAO,MG,cliente pediu p/ entregar depois das 18h,
02/03/2024,Bruno Silva,Bolo de pote,4,"61,79",0%,Sim,sp,pagou no pix,
10/03/2024,Paulo Nascimento,Pão de mel,3,"26,75",5%,Não,RJ,,
2024-03-01,Vitor Pereira,Pão de mel,6,"160,31",0%,Sim,MG,,
,,,,,,,,,
05/03/2024,Yasmin Rodrigues,Brigadeiro (cx 20),1,"R$83,84",0%,NAO,SP,retirar na loja,
2024-03-23,Diego Oliveira,Pão de mel,3,"124,41",0%,NAO,sp,,
21/03/2024,Fábio Ferreira,Cookie,5,"R$ 155,25",0%,Não,SP,,
2024-03-04,Tiago Silva,Brigadeiro (cx 20),2,"R$126,65",0%,sim,MG,,
07/03/2024,Wanda Silva,Bolo de pote,3,"R$ 127,38",10%,S,SP,,
2024-03-12,Karina Ferreira,Pão de mel,6,"R$153,64",10%,Não,SP,,
28/03/2024,Elisa Lima,Bolo de pote,5,"R$ 23,28",0%,Sim,SP,,
24/03/2024,Diego Ribeiro,Brigadeiro (cx 20),2,"R$169,47",0%,Não,RJ,pagou no pix,
04/03/2024,Queila Silva,Torta de limão,1,"R$ 169,11",0%,Não,MG,pagou no pix,
2024-03-09,Diego Oliveira,Pão de mel,6,"135,95",10%,S,RJ,,
,,,,,,,,,
03/03/2024,Yasmin Ribeiro,Torta de limão,1,"R$134,54",0%,Não,RJ,cliente pediu p/ entregar depois das 18h,
2024-03-17,Paulo Almeida,Torta de limão,6,"R$50,99",10%,S,MG,pagou no pix,
27/03/2024,Marina Ribeiro,Cookie,5,"R$ 113,67",0%,sim,RJ,retirar na loja,
07/03/2024,Vitor Silva,Torta de limão,3,"R$ 27,86",10%,NAO,RJ,,
21/03/2024,Paulo Silva,Torta de limão,5,"R$ 112,46",10%,Sim,sp,retirar na loja,
25/03/2024,Yasmin Santos,Bolo de pote,4,"R$ 149,12",0%,S,SP,,
09/03/2024,Diego Almeida,Pão de mel,3,"137,78",10%,NAO,SP,pagou no pix,
06/03/2024,Diego Gomes,Torta de limão,1,"70,88",0%,NAO,SP,cliente pediu p/ entregar depois das 18h,
2024-03-02,Olívia Lima,Cookie,2,"84,81",0%,Sim,SP,pagou no pix,
23/03/2024,Olívia Costa,Cookie,1,"R$95,08",5%,sim,SP,,
28/03/2024,Ana Lima,Brigadeiro (cx 20),1,"174,38",10%,NAO,SP,,
2024-03-08,Queila Araújo,Brigadeiro (cx 20),4,"R$54,85",10%,S,SP,cliente pediu p/ entregar depois das 18h,
Subtotal 03/2024,,,,"5.801,88",,,,,
,,,,,,,,,
