Aluno;Turma;Nota Final;Frequência;Data da Prova;Aprovado;E-mail do Responsável;Parecer
Heitor Martins Ferreira;7º A;6,1;81%;18/03/2024;Sim;heitor.martins@familia.com;Faltou às avaliações de recuperação.
Vitor Gomes Santos;6º A;7,2;64%;11/03/2024;Sim;vitor.gomes@familia.com;Participativo em sala.
Úrsula Araújo Almeida;6º A;5,0;100%;22/06/2024;Não;ursula.araujo@familia.com;Ótimo desempenho no bimestre.
Queila Lima Ribeiro;6º A;8,7;82%;20/06/2024;Sim;queila.lima@familia.com;Participativo em sala.
Rafael Almeida Carvalho;6º A;9,1;95%;15/06/2024;Sim;rafael.almeida@familia.com;Participativo em sala.
Olívia Almeida Gomes;6º A;4,5;84%;06/11/2024;Não;olivia.almeida@familia.com;Participativo em sala.
Rafael Gomes Araújo;7º A;9,2;72%;04/06/2024;Sim;rafael.gomes@familia.com;Participativo em sala.
Rafael Souza Carvalho;7º A;3,0;77%;27/03/2024;Não;rafael.souza@familia.com;Precisa de reforço em frações.
Wanda Santos Carvalho;8º C;8,6;67%;21/11/2024;Sim;wanda.santos@familia.com;Faltou às avaliações de recuperação.
Nicolas Gomes Ferreira;6º A;6,1;99%;26/03/2024;Sim;nicolas.gomes@familia.com;Ótimo desempenho no bimestre.
João Ribeiro Nascimento;8º C;4,1;85%;01/09/2024;Não;joao.ribeiro@familia.com;Faltou às avaliações de recuperação.
Lucas Carvalho Araújo;6º A;4,1;78%;09/09/2024;Não;lucas.carvalho@familia.com;Faltou às avaliações de recuperação.
Fábio Martins Oliveira;8º C;7,0;64%;11/03/2024;Sim;fabio.martins@familia.com;Faltou às avaliações de recuperação.
Vitor Costa Santos;7º A;7,3;89%;22/11/2024;Sim;vitor.costa@familia.com;Faltou às avaliações de recuperação.
Bruno Silva Ferreira;6º B;4,4;70%;14/11/2024;Não;bruno.silva@familia.com;Ótimo desempenho no bimestre.
Íris Souza Ribeiro;8º C;8,8;76%;03/09/2024;Sim;iris.souza@familia.com;Participativo em sala.
Úrsula Almeida Silva;6º B;7,8;99%;28/03/2024;Sim;ursula.almeida@familia.com;Participativo em sala.
Sofia Pereira Carvalho;7º A;7,6;72%;10/11/2024;Sim;sofia.pereira@familia.com;Participativo em sala.
Wanda Araújo Martins;6º B;9,4;97%;13/06/2024;Sim;wanda.araujo@familia.com;Participativo em sala.
Íris Gomes Almeida;8º C;7,4;84%;10/11/2024;Sim;iris.gomes@familia.com;Precisa de reforço em frações.
Elisa Silva Pereira;8º C;3,1;85%;17/11/2024;Não;elisa.silva@familia.com;Participativo em sala.
Olívia Carvalho Almeida;6º B;5,5;95%;14/11/2024;Não;olivia.carvalho@familia.com;Faltou às avaliações de recuperação.
Rafael Ribeiro Souza;6º B;6,2;100%;09/09/2024;Sim;rafael.ribeiro@familia.com;Faltou às avaliações de recuperação.
Karina Ferreira Araújo;6º B;8,4;71%;26/03/2024;Sim;karina.ferreira@familia.com;Ótimo desempenho no bimestre.
Sofia Ferreira Pereira;8º C;5,6;88%;12/09/2024;Não;sofia.ferreira@familia.com;Participativo em sala.
Paulo Souza Carvalho;6º B;7,2;80%;23/11/2024;Sim;paulo.souza@familia.com;Faltou às avaliações de recuperação.
Úrsula Ferreira Martins;6º A;5,6;69%;22/11/2024;Não;ursula.ferreira@familia.com;Precisa de reforço em frações.
Heitor Rodrigues Nascimento;8º C;3,5;95%;22/09/2024;Não;heitor.rodrigues@familia.com;Participativo em sala.
Íris Santos Costa;6º A;8,2;84%;22/03/2024;Sim;iris.santos@familia.com;Participativo em sala.
Olívia Martins Souza;7º A;5,9;90%;06/03/2024;Não;olivia.martins@familia.com;Precisa de reforço em frações.
João Carvalho Nascimento;6º A;5,6;85%;20/11/2024;Não;joao.carvalho@familia.com;Precisa de reforço em frações.
Wanda Pereira Lima;6º A;4,0;96%;01/11/2024;Não;wanda.pereira@familia.com;Faltou às avaliações de recuperação.
Rafael Oliveira Pereira;8º C;7,1;89%;21/03/2024;Sim;rafael.oliveira@familia.com;Ótimo desempenho no bimestre.
Vitor Silva Ferreira;7º A;9,4;67%;21/06/2024;Sim;vitor.silva@familia.com;Ótimo desempenho no bimestre.
Carla Ribeiro Lima;6º A;8,7;68%;08/09/2024;Sim;carla.ribeiro@familia.com;Ótimo desempenho no bimestre.
Gabriela Oliveira Souza;6º A;3,8;86%;24/09/2024;Não;gabriela.oliveira@familia.com;Faltou às avaliações de recuperação.
Queila Lima Lima;6º A;8,7;72%;09/03/2024;Sim;queila.lima@familia.com;Faltou às avaliações de recuperação.
Queila Nascimento Ferreira;6º B;4,7;79%;22/11/2024;Não;queila.nascimento@familia.com;Ótimo desempenho no bimestre.
Elisa Martins Almeida;8º C;5,6;96%;08/09/2024;Não;elisa.martins@familia.com;Faltou às avaliações de recuperação.
Tiago Silva Silva;6º B;4,1;86%;12/11/2024;Não;tiago.silva@familia.com;Participativo em sala.
Ana Ferreira Silva;6º B;9,4;83%;22/06/2024;Sim;ana.ferreira@familia.com;Faltou às avaliações de recuperação.
Karina Costa Oliveira;7º A;10,0;61%;20/09/2024;Sim;karina.costa@familia.com;Participativo em sala.
Olívia Costa Araújo;6º A;4,5;72%;16/09/2024;Não;olivia.costa@familia.com;Faltou às avaliações de recuperação.
Yasmin Almeida Oliveira;6º A;4,3;82%;19/09/2024;Não;yasmin.almeida@familia.com;Precisa de reforço em frações.
Fábio Costa Gomes;7º A;4,1;61%;11/09/2024;Não;fabio.costa@familia.com;Precisa de reforço em frações.
Wanda Gomes Nascimento;6º A;4,6;61%;27/03/2024;Não;wanda.gomes@familia.com;Ótimo desempenho no bimestre.
Bruno Pereira Ribeiro;8º C;6,0;61%;13/09/2024;Sim;bruno.pereira@familia.com;Faltou às avaliações de recuperação.
Olívia Souza Ribeiro;6º A;9,5;67%;24/11/2024;Sim;olivia.souza@familia.com;Precisa de reforço em frações.
Lucas Oliveira Ferreira;8º C;6,4;87%;12/03/2024;Sim;lucas.oliveira@familia.com;Faltou às avaliações de recuperação.
Marina Oliveira Lima;7º A;3,3;75%;13/11/2024;Não;marina.oliveira@familia.com;Ótimo desempenho no bimestre.
Fábio Oliveira Rodrigues;8º C;7,1;97%;27/03/2024;Sim;fabio.oliveira@familia.com;Participativo em sala.
Gabriela Carvalho Gomes;6º B;6,1;82%;15/09/2024;Sim;gabriela.carvalho@familia.com;Faltou às avaliações de recuperação.
Vitor Rodrigues Santos;6º B;7,2;96%;08/09/2024;Sim;vitor.rodrigues@familia.com;Faltou às avaliações de recuperação.
Carla Rodrigues Nascimento;7º A;4,7;79%;04/11/2024;Não;carla.rodrigues@familia.com;Precisa de reforço em frações.
Vitor Ribeiro Lima;7º A;4,8;60%;27/11/2024;Não;vitor.ribeiro@familia.com;Ótimo desempenho no bimestre.
Lucas Martins Ribeiro;8º C;5,7;91%;10/03/2024;Não;lucas.martins@familia.com;Participativo em sala.
Tiago Lima Carvalho;6º A;9,9;72%;13/03/2024;Sim;tiago.lima@familia.com;Precisa de reforço em frações.
Marina Ferreira Oliveira;7º A;4,9;74%;16/03/2024;Não;marina.ferreira@familia.com;Precisa de reforço em frações.
Karina Gomes Pereira;6º B;5,8;76%;11/09/2024;Não;karina.gomes@familia.com;Precisa de reforço em frações.
