Order Date,Region,Revenue,Units,Customer Email,Discount Rate,Product Line
09/21/2024,South,"1,873.50",31,ana.martins@mail.com,0.05,Hardware
11/19/2024,West,"1,772.24",13,queila.almeida@mail.com,0.10,Services
03/10/2024,South,"4,207.20",13,heitor.carvalho@mail.com,0.15,Services
07/22/2024,South,"2,092.12",24,wanda.ribeiro@mail.com,0.05,Software
10/15/2024,North,794.05,21,diego.ribeiro@mail.com,0.15,Hardware
06/07/2024,East,"1,969.29",9,carla.gomes@mail.com,0.00,Hardware
05/27/2024,South,"3,334.37",30,olivia.souza@mail.com,0.05,Services
05/10/2024,West,"4,864.42",16,heitor.ribeiro@mail.com,0.05,Services
10/14/2024,South,766.12,22,olivia.oliveira@mail.com,0.00,Hardware
11/26/2024,East,"1,314.01",38,gabriela.carvalho@mail.com,0.05,Software
04/24/2024,South,"1,534.07",25,yasmin.oliveira@mail.com,0.05,Software
12/17/2024,West,"1,676.25",5,wanda.santos@mail.com,0.00,Services
08/27/2024,North,"4,250.06",6,queila.oliveira@mail.com,0.15,Hardware
06/12/2024,North,"4,221.42",40,iris.souza@mail.com,0.10,Services
01/01/2024,West,"2,084.72",23,elisa.santos@mail.com,0.00,Hardware
04/26/2024,South,659.26,10,karina.souza@mail.com,0.15,Hardware
01/17/2024,North,"4,872.24",7,wanda.silva@mail.com,0.15,Services
12/17/2024,East,"1,971.51",10,nicolas.ferreira@mail.com,0.15,Hardware
09/23/2024,South,513.22,24,olivia.martins@mail.com,0.15,Hardware
09/27/2024,West,"1,202.81",16,iris.souza@mail.com,0.10,Services
05/23/2024,West,"1,016.18",25,nicolas.oliveira@mail.com,0.15,Software
11/17/2024,South,"3,775.49",4,ana.araujo@mail.com,0.00,Services
11/18/2024,West,"4,316.76",29,joao.ferreira@mail.com,0.10,Services
04/02/2024,South,565.42,23,paulo.santos@mail.com,0.00,Hardware
02/28/2024,West,"2,064.09",18,ursula.ribeiro@mail.com,0.15,Services
08/26/2024,North,"2,552.50",13,heitor.pereira@mail.com,0.15,Hardware
08/17/2024,East,"2,977.87",18,queila.ribeiro@mail.com,0.05,Hardware
10/11/2024,West,"1,742.22",39,rafael.gomes@mail.com,0.10,Services
04/18/2024,North,"4,087.90",20,marina.carvalho@mail.com,0.05,Services
02/21/2024,South,342.31,13,queila.costa@mail.com,0.15,Software
01/11/2024,North,"2,799.29",38,nicolas.santos@mail.com,0.15,Services
05/20/2024,South,"1,815.66",28,fabio.gomes@mail.com,0.05,Hardware
03/19/2024,South,547.86,4,sofia.araujo@mail.com,0.10,Software
01/14/2024,North,"3,257.63",29,tiago.martins@mail.com,0.10,Software
03/04/2024,East,724.98,19,ursula.silva@mail.com,0.10,Hardware
02/24/2024,East,"4,370.20",26,fabio.rodrigues@mail.com,0.10,Hardware
06/08/2024,East,"2,110.01",38,iris.silva@mail.com,0.05,Hardware
11/19/2024,North,"2,514.53",39,elisa.ferreira@mail.com,0.05,Services
01/17/2024,South,"2,045.87",23,bruno.oliveira@mail.com,0.15,Services
11/04/2024,West,"3,236.76",19,bruno.santos@mail.com,0.10,Services
07/03/2024,South,"2,870.79",9,heitor.araujo@mail.com,0.15,Software
06/23/2024,North,"2,035.67",1,heitor.pereira@mail.com,0.10,Hardware
06/07/2024,East,"2,400.44",39,lucas.gomes@mail.com,0.10,Hardware
10/12/2024,South,158.78,13,marina.oliveira@mail.com,0.10,Software
10/28/2024,East,"4,597.57",19,diego.ferreira@mail.com,0.10,Software
08/08/2024,North,"4,965.08",26,lucas.almeida@mail.com,0.15,Services
11/18/2024,North,"1,002.44",8,ursula.martins@mail.com,0.05,Software
01/22/2024,West,"1,630.27",24,karina.almeida@mail.com,0.05,Hardware
03/21/2024,West,"4,997.22",38,rafael.santos@mail.com,0.15,Services
02/02/2024,North,"1,310.44",8,ana.nascimento@mail.com,0.10,Hardware
02/23/2024,South,"1,787.36",26,elisa.ferreira@mail.com,0.05,Hardware
12/07/2024,South,"1,883.42",37,nicolas.pereira@mail.com,0.15,Hardware
07/09/2024,North,"1,700.89",19,heitor.nascimento@mail.com,0.10,Software
01/28/2024,South,"3,158.96",4,tiago.martins@mail.com,0.05,Services
08/07/2024,West,796.46,29,heitor.rodrigues@mail.com,0.00,Services
08/06/2024,South,640.50,8,bruno.santos@mail.com,0.15,Hardware
